so2,no2,o3,MP10
"3	","	55	","	25	","		26"
"3	","	79	","	39	","		26"
"3	","	98	","	55	","		33"
"3	","	106	","	54	","		35"
"3	","	109	","	45	","		32"
"3	","	108	","	39	","		41"
"4	","	109	","	60	","		46"
"5	","	81	","	43	","		45"
"7	","	17	","	53	","		60.001"
"7	","	20	","	44	","		79"
"7	","	17	","	34	","		94"
"7	","	13	","	29	","		89"
"2	","	10	","	37	","		72"
"1	","	6	","	42	","		79"
"6	","	29	","	32	","		84"
"3	","	18	","	31	","		74"
"2	","	12	","	31	","		45"
"2	","	16	","	62	","		34"
"2	","	13	","	58	","		53"
"3	","	16	","	45	","		33"
"2	","	20	","	38	","		42"
"26	","	44	","	48	","		49"
"18	","	63	","	54	","		22"
"4	","	67	","	52	","		28"
"5	","	83	","	53	","		35"
"4	","	98	","	48	","		31"
"2	","	106	","	40	","		24"
"2	","	106	","	41	","		25"
"1	","	109	","	49	","		22"
"3	","	109	","	59	","		18"
"3	","	94	","	41	","		28"
"4	","	51	","	38	","		27"
"3	","	31	","	35	","		48"
"3	","	31	","	38	","		48"
"12	","	22	","	42	","		48"
"1	","	29	","	40	","		72"
"1	","	22	","	43	","		67"
"1	","	16	","	42	","		51"
"1	","	17	","	44	","		15"
"1	","	2	","	41	","		32"
"1	","	11	","	39	","		26"
"1	","	1	","	35	","		31"
"1	","	1	","	33	","		24"
"3	","	6	","	34	","		24"
"12	","	15	","	25	","		39"
"4	","	35	","	39	","		28"
"8	","	54	","	47	","		46"
"3	","	63	","	45	","		58"
"2	","	71	","	23	","		44"
"1	","	61	","	15	","		42"
"1	","	64	","	15	","		37"
"1	","	42	","	16	","		41"
"1	","	28	","	13	","		33"
"1	","	25	","	13	","		25"
"1	","	20	","	17	","		22"
"1	","	23	","	63	","		11"
"1	","	9	","	83	","		12"
"1	","	8	","	62	","		24"
"4	","	3	","	43	","		49"
"5	","	0.001	","	50	","		22"
"4	","	25	","	46	","		38"
"3	","	26	","	50	","		29"
"2	","	46	","	37	","		23"
"2	","	40	","	29	","		18"
"3	","	46	","	19	","		27"
"3	","	36	","	15	","		19"
"3	","	25	","	21	","		14"
"2	","	29	","	34	","		20.001"
"2	","	35	","	46	","		25"
"2	","	42	","	34	","		16"
"2	","	36	","	34	","		30.001"
"2	","	35	","	16	","		18"
"2	","	25	","	17	","		11"
"2	","	26	","	20	","		17"
"3	","	19	","	26	","		28"
"3	","	9	","	22	","		26"
"7	","	1	","	23	","		34"
"8	","	1	","	30	","		27"
"21	","	1	","	44	","		30.001"
"14	","	3	","	48	","		18"
"9	","	0.001	","	45	","		36"
"7	","	1	","	38	","		37"
"4	","	1	","	54	","		33"
"3	","	32	","	55	","		68"
"2	","	33	","	54	","		52"
"1	","	36	","	51	","		38"
"1	","	38	","	46	","		32"
"2	","	48	","	45	","		9"
"2	","	21	","	49	","		12"
"2	","	26	","	37	","		25"
"2	","	21	","	40	","		21"
"1	","	18	","	55	","		17"
"2	","	32	","	72	","		56"
"2	","	27	","	89	","		12"
"4	","	41	","	35	","		37"
"2	","	37	","	27	","		54"
"2	","	32	","	18	","		58"
"5	","	28	","	18	","		43"
"7	","	18	","	19	","		37"
"6	","	9	","	19	","		42"
"5	","	1	","	22	","		64"
"3	","	0.001	","	27	","		81"
"2	","	0.001	","	61	","		63"
"15	","	0.001	","	78	","		54"
"20.001	","	21	","	67	","		22"
"15	","	40	","	55	","		54"
"17	","	23	","	52	","		35"
"5	","	30	","	63	","		29"
"13	","	61	","	55	","		40.001"
"19	","	28	","	51	","		30.001"
"7	","	39	","	67	","		21"
"4	","	16	","	73	","		66"
"3	","	26	","	74	","		21"
"2	","	47	","	73	","		8"
"1	","	47	","	76	","		7"
"1	","	56	","	67	","		28"
"1	","	69	","	64	","		7"
"1	","	67	","	76	","		14"
"2	","	69	","	69	","		3"
"1	","	64	","	74	","		27"
"1	","	41	","	60	","		19"
"1	","	38	","	77	","		5"
"1	","	26	","	78	","		16"
"1	","	21	","	91	","		12"
"1	","	19	","	86	","		18"
"1	","	12	","	88	","		25"
"0.001	","	23	","	92	","		6"
"1	","	13	","	86	","		28"
"1	","	35	","	79	","		7"
"3	","	54	","	73	","		37"
"4	","	69	","	29	","		46"
"10.001	","	62	","	34	","		26"
"20.001	","	68	","	30	","		74"
"12	","	34	","	26	","		35"
"18	","	25	","	24	","		61"
"25	","	28	","	21	","		53"
"13	","	34	","	26	","		50.001"
"10.001	","	32	","	33	","		56"
"9	","	36	","	21	","		53"
"8	","	46	","	24	","		46"
"9	","	32	","	22	","		26"
"5	","	36	","	19	","		19"
"3	","	24	","	20	","		75"
"6	","	8	","	15	","		55"
"5	","	17	","	14	","		16"
"3	","	11	","	19	","		70.001"
"3	","	6	","	38	","		25"
"5	","	4	","	59	","		44"
"5	","	16	","	54	","		36"
